"student_id";"firstname";"last_name1";"last_name2";"email";"phone"
"3614935074";"Timothy";"Bosco";"Bosco";"Timothy.Bosco65@gmail.com";"+506 8274 9768"
"7287493742";"Mark";"Kshlerin";"Kshlerin";"Mark27@yahoo.com";"+506 6427 6251"
"0954190139";"Sherri";"Bartoletti";"Bartoletti";"Sherri_Bartoletti@hotmail.com";"+506 2030 2906"
"8195495772";"Enrique";"Stark";"Stark";"Enrique90@gmail.com";"+506 4939 2326"
"3203185869";"Norman";"Howell";"Howell";"Norman_Howell@gmail.com";"+506 5550 6081"
"5744438543";"Morris";"Sauer-Hettinger";"Sauer-Hettinger";"Morris42@yahoo.com";"+506 7746 3650"
"2453696642";"Monica";"Johnson";"Johnson";"Monica.Johnson@gmail.com";"+506 2477 2959"
"6997914582";"Randolph";"Gislason";"Gislason";"Randolph_Gislason86@hotmail.com";"+506 5260 0891"
"5099953985";"Jeanne";"Spinka";"Spinka";"Jeanne_Spinka@gmail.com";"+506 4197 6947"
"2487836727";"Diana";"Quigley";"Quigley";"Diana53@hotmail.com";"+506 0333 8675"
"0982857990";"Janie";"Barton";"Barton";"Janie_Barton@yahoo.com";"+506 5376 8274"
"6285201244";"Philip";"Sanford";"Sanford";"Philip52@yahoo.com";"+506 5585 4358"
"1440138526";"Louise";"O'Hara";"O'Hara";"Louise3@yahoo.com";"+506 8891 4255"
"6211018842";"Maggie";"Kuphal";"Kuphal";"Maggie74@hotmail.com";"+506 4426 7122"
"9810888596";"Edgar";"Crooks";"Crooks";"Edgar50@yahoo.com";"+506 5658 1148"
"6073170580";"Van";"Blanda";"Blanda";"Van21@yahoo.com";"+506 2193 6472"
"8359699279";"Dominick";"Altenwerth";"Altenwerth";"Dominick_Altenwerth10@hotmail.com";"+506 0170 8430"
"3941080343";"Laura";"Weissnat";"Weissnat";"Laura7@gmail.com";"+506 5415 7778"
"8125469329";"Robin";"Reilly-Sipes";"Reilly-Sipes";"Robin_Reilly-Sipes59@gmail.com";"+506 5928 9901"
"2085259568";"Latoya";"Bechtelar";"Bechtelar";"Latoya88@yahoo.com";"+506 3486 9306"
"9973182455";"Raquel";"Bailey";"Bailey";"Raquel.Bailey72@hotmail.com";"+506 0344 1170"
"5770442182";"Peter";"Schultz";"Schultz";"Peter.Schultz94@gmail.com";"+506 5753 1354"
"6560624276";"Stuart";"McDermott";"McDermott";"Stuart_McDermott55@gmail.com";"+506 9849 0834"
"2744855597";"Erick";"Ratke";"Ratke";"Erick.Ratke3@yahoo.com";"+506 1772 1195"
"1332518568";"Pamela";"Stiedemann";"Stiedemann";"Pamela_Stiedemann@hotmail.com";"+506 0861 0000"
"5755430469";"Hazel";"Jerde";"Jerde";"Hazel_Jerde@yahoo.com";"+506 8223 8641"
"4777597503";"Dianne";"Harvey";"Harvey";"Dianne_Harvey@yahoo.com";"+506 6262 1820"
"7540021601";"Nancy";"Jaskolski";"Jaskolski";"Nancy_Jaskolski@yahoo.com";"+506 6922 8393"
"5197558653";"Adrienne";"Bosco";"Bosco";"Adrienne_Bosco97@yahoo.com";"+506 0986 0916"
"2291505183";"Freddie";"Lockman";"Lockman";"Freddie.Lockman@hotmail.com";"+506 2555 3172"
"3036445942";"Regina";"Konopelski";"Konopelski";"Regina86@yahoo.com";"+506 3306 4305"
"1386376938";"Leticia";"Bernhard";"Bernhard";"Leticia_Bernhard@yahoo.com";"+506 8260 1654"
"2449447990";"Ian";"Medhurst";"Medhurst";"Ian.Medhurst79@hotmail.com";"+506 6785 9729"
"8462832889";"Vincent";"Leannon";"Leannon";"Vincent_Leannon12@gmail.com";"+506 4612 5096"
"3780401442";"Karla";"Sanford";"Sanford";"Karla.Sanford@gmail.com";"+506 3693 7051"
"1634339856";"Ronnie";"Carter";"Carter";"Ronnie31@gmail.com";"+506 4638 7943"
"3915566364";"Charlene";"Harber";"Harber";"Charlene41@gmail.com";"+506 4528 1851"
"3687291924";"George";"Wiegand";"Wiegand";"George_Wiegand82@hotmail.com";"+506 9475 9182"
"2815103896";"Dan";"Lueilwitz";"Lueilwitz";"Dan_Lueilwitz@yahoo.com";"+506 5129 8634"
"9775380230";"Minnie";"Gutmann";"Gutmann";"Minnie12@hotmail.com";"+506 6372 6318"
"8196640418";"Eduardo";"Robel";"Robel";"Eduardo52@gmail.com";"+506 4234 0924"
"0647387115";"Isabel";"Bosco";"Bosco";"Isabel.Bosco39@yahoo.com";"+506 7204 4092"
"8634621610";"Kristine";"Reinger";"Reinger";"Kristine39@hotmail.com";"+506 0385 9746"
"0682539702";"Timmy";"Leuschke-Greenholt";"Leuschke-Greenholt";"Timmy.Leuschke-Greenholt2@hotmail.com";"+506 4661 6651"
"5052558307";"Madeline";"Legros";"Legros";"Madeline_Legros@hotmail.com";"+506 2574 5424"
"8801428396";"Annie";"Smitham";"Smitham";"Annie_Smitham@gmail.com";"+506 2846 2814"
"5469576608";"Reginald";"Morar";"Morar";"Reginald_Morar48@hotmail.com";"+506 4899 2071"
"4128007070";"Sergio";"Altenwerth";"Altenwerth";"Sergio.Altenwerth@yahoo.com";"+506 0645 0599"
"1153514870";"Shane";"Will";"Will";"Shane_Will@gmail.com";"+506 9116 1546"
"8814326748";"Wilfred";"Goldner";"Goldner";"Wilfred3@gmail.com";"+506 4293 3960"
"0329448024";"Jessica";"Mueller";"Mueller";"Jessica.Mueller@gmail.com";"+506 7170 5172"
"8979615922";"Simon";"Friesen";"Friesen";"Simon.Friesen@hotmail.com";"+506 6213 3352"
"3672860444";"Myra";"VonRueden";"VonRueden";"Myra_VonRueden@yahoo.com";"+506 1320 0668"
"2258626995";"Toby";"Bergnaum";"Bergnaum";"Toby60@hotmail.com";"+506 8895 3641"
"8127732808";"Madeline";"Gulgowski";"Gulgowski";"Madeline66@gmail.com";"+506 8651 4654"
"5181018840";"Judy";"Weimann";"Weimann";"Judy4@gmail.com";"+506 9497 9107"
"5408957767";"Tracy";"Yundt";"Yundt";"Tracy.Yundt@gmail.com";"+506 2264 4433"
"0668635627";"Tiffany";"Boehm";"Boehm";"Tiffany93@yahoo.com";"+506 3580 2969"
"3788313616";"Stacey";"Flatley";"Flatley";"Stacey.Flatley43@gmail.com";"+506 9158 7402"
